Yr,Loc,Env,Dis,Group,Trt,Rep,Row,Pop,Pop.ha,Fung,DI,DS,DIX,Ybu,Ykg,Inc_9,Inc_12,Inc_15,Seed.cost,Fung.cost,Total.cost,Profit9,Profit12,Profit15,PredSclerkg
2019,Arlington,Arlington-2019,0,Fully,14,4,30,110000,270000,Amodel,0,0,0,68.55,4610,1521.3,2028.4,2535.5,119.6,57.3,176.8,1344.5,1851.6,2358.7,0
2019,Arlington,Arlington-2019,0,Fully,20,1,30,170000,420000,Amodel,0,0,0,69.28,4659.1,1537.5,2050,2562.5,186,57.3,243.3,1294.2,1806.7,2319.2,0
2019,Arlington,Arlington-2019,0,Fully,23,1,30,200000,495000,Amodel,0,0,0,69.68,4686,1546.4,2061.8,2577.3,219.2,57.3,276.5,1269.9,1785.4,2300.8,0
2019,Arlington,Arlington-2019,0,Fully,20,4,30,170000,420000,Amodel,0,0,0,70.3,4727.7,1560.1,2080.2,2600.2,186,57.3,243.3,1316.9,1836.9,2357,0
2019,Arlington,Arlington-2019,0,Fully,20,3,30,170000,420000,Amodel,0,0,0,70.35,4731,1561.2,2081.7,2602.1,186,57.3,243.3,1318,1838.4,2358.8,0
2019,Arlington,Arlington-2019,0,Fully,23,2,30,200000,495000,Amodel,0,0,0,71.05,4778.1,1576.8,2102.4,2628,219.2,57.3,276.5,1300.3,1825.9,2351.5,0
2019,Arlington,Arlington-2019,0,Fully,23,4,30,200000,495000,Amodel,0,0,0,73.04,4911.9,1620.9,2161.3,2701.6,219.2,57.3,276.5,1344.5,1884.8,2425.1,0
2018,Dekalb,Dekalb-2018,0,Fully,2,3,15,110000,270000,Amodel,0,0,0,79.58,5351.8,1766.1,2354.8,2943.5,119.6,57.3,176.8,1589.2,2177.9,2766.6,0
2018,Dekalb,Dekalb-2018,0,Fully,2,1,15,110000,270000,Amodel,0,0,0,80.86,5437.8,1794.5,2392.6,2990.8,119.6,57.3,176.8,1617.7,2215.8,2814,0
2018,Dekalb,Dekalb-2018,0,Fully,5,2,15,140000,345000,Amodel,0,0,0,83.52,5616.7,1853.5,2471.4,3089.2,152.8,57.3,210,1643.5,2261.3,2879.2,0
2018,Dekalb,Dekalb-2018,0,Fully,5,3,15,140000,345000,Amodel,0,0,0,87.77,5902.5,1947.8,2597.1,3246.4,152.8,57.3,210,1737.8,2387.1,3036.3,0
2018,Dekalb,Dekalb-2018,0,Fully,5,1,15,140000,345000,Amodel,0,0,0,89.92,6047.1,1995.5,2660.7,3325.9,152.8,57.3,210,1785.5,2450.7,3115.9,0
2018,Dekalb,Dekalb-2018,0,Fully,2,2,15,110000,270000,Amodel,0,0,0,90.14,6061.9,2000.4,2667.2,3334.1,119.6,57.3,176.8,1823.6,2490.4,3157.2,0
2018,Dekalb,Dekalb-2018,0,Fully,2,4,15,110000,270000,Amodel,0,0,0,90.27,6070.7,2003.3,2671.1,3338.9,119.6,57.3,176.8,1826.5,2494.3,3162,0
2018,Dekalb,Dekalb-2018,0,Fully,11,2,15,200000,495000,Amodel,0,0,0,90.28,6071.3,2003.5,2671.4,3339.2,219.2,57.3,276.5,1727.1,2394.9,3062.8,0
2018,Dekalb,Dekalb-2018,0,Fully,8,2,15,170000,420000,Amodel,0,0,0,92.86,6244.8,2060.8,2747.7,3434.7,186,57.3,243.3,1817.5,2504.5,3191.4,0
2018,Dekalb,Dekalb-2018,0,Fully,8,4,15,170000,420000,Amodel,0,0,0,92.89,6246.9,2061.5,2748.6,3435.8,186,57.3,243.3,1818.2,2505.4,3192.5,0
2018,Dekalb,Dekalb-2018,0,Fully,11,3,15,200000,495000,Amodel,0,0,0,93.69,6300.7,2079.2,2772.3,3465.4,219.2,57.3,276.5,1802.7,2495.8,3188.9,0
2018,Dekalb,Dekalb-2018,0,Fully,8,1,15,170000,420000,Amodel,0,0,0,97.39,6549.5,2161.3,2881.8,3602.2,186,57.3,243.3,1918.1,2638.5,3359,0
2018,Dekalb,Dekalb-2018,0,Fully,11,1,15,200000,495000,Amodel,0,0,0,99.31,6678.6,2203.9,2938.6,3673.2,219.2,57.3,276.5,1927.5,2662.1,3396.8,0
2018,Dekalb,Dekalb-2018,0,Fully,5,4,15,140000,345000,Amodel,0,0,0,99.71,6705.5,2212.8,2950.4,3688,152.8,57.3,210,2002.8,2740.4,3478,0
