Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI,DS,DIX,Ybu,Ykg
2019,Montfort,13,Full+,209,11,2,15,200,Amodel,0,0,0,85.18,5728.355
2019,Montfort,13,Full+,210,9,2,15,170,AR1R3,1.94,3,1.94,82.1,5521.225
2019,Montfort,13,Full+,211,7,2,15,170,NT,0,0,0,87.76,5901.86
2019,Montfort,13,Full+,212,8,2,15,170,Amodel,1.25,2,0.83,86.41,5811.0725
2019,Montfort,13,Full+,213,22,2,30,200,NT,0.6,3,0.6,73.23,4924.7175
2019,Montfort,13,Full+,214,24,2,30,200,AR1R3,1,3,1,91.46,6150.685
2019,Montfort,13,Full+,215,23,2,30,200,Amodel,1.23,3,1.23,74.94,5039.715
2019,Montfort,13,Full+,216,20,2,30,170,Amodel,1.05,3,1.05,79.7,5359.825
2019,Montfort,13,Full+,217,19,2,30,170,NT,1.02,3,1.02,78.79,5298.6275
2019,Montfort,13,Full+,218,21,2,30,170,AR1R3,0.31,3,0.31,81.68,5492.98
2019,Montfort,13,Full+,219,16,2,30,140,NT,2.17,2.6,1.88,78.65,5289.2125
2019,Montfort,13,Full+,220,18,2,30,140,AR1R3,0.71,3,0.71,83.3,5601.925
2019,Montfort,13,Full+,221,17,2,30,140,Amodel,2.29,2.33,1.78,79.8,5366.55
2019,Montfort,13,Full+,222,13,2,30,110,NT,0.93,2,0.62,78.72,5293.92
2019,Montfort,13,Full+,223,15,2,30,110,AR1R3,0,0,0,76.64,5154.04
2019,Montfort,13,Full+,224,14,2,30,110,Amodel,0,0,0,73.51,4943.5475
2019,Montfort,13,Full+,301,15,3,30,110,AR1R3,0,0,0,89.91,6046.4475
2019,Montfort,13,Full+,302,13,3,30,110,NT,0.93,2,0.62,72.18,4854.105
2019,Montfort,13,Full+,303,14,3,30,110,Amodel,0.42,3,0.42,74.71,5024.2475
2019,Montfort,13,Full+,304,20,3,30,170,Amodel,0,0,0,67,4505.75
2019,Montfort,13,Full+,305,19,3,30,170,NT,0,0,0,76.1,5117.725
2019,Montfort,13,Full+,306,21,3,30,170,AR1R3,0,0,0,74.43,5005.4175
2019,Montfort,13,Full+,307,22,3,30,200,NT,0.61,3,0.61,76.12,5119.07
2019,Montfort,13,Full+,308,23,3,30,200,Amodel,0.32,0,0,78.29,5265.0025
2019,Montfort,13,Full+,309,24,3,30,200,AR1R3,0,0,0,80.72,5428.42
2019,Montfort,13,Full+,310,17,3,30,140,Amodel,0.4,2,0.26,72.31,4862.8475
2019,Montfort,13,Full+,311,16,3,30,140,NT,0.42,0,0,79.82,5367.895
2019,Montfort,13,Full+,312,18,3,30,140,AR1R3,0,3,0,76.3,5131.175
2019,Montfort,13,Full+,313,7,3,15,170,NT,1.27,3,1.27,91.64,6162.79
2019,Montfort,13,Full+,314,9,3,15,170,AR1R3,2.17,2.5,1.81,91.5,6153.375
2019,Montfort,13,Full+,315,8,3,15,170,Amodel,2.48,3,2.48,90.79,6105.6275
2019,Montfort,13,Full+,316,10,3,15,200,NT,2.5,3,2.5,90.97,6117.7325
2019,Montfort,13,Full+,317,11,3,15,200,Amodel,1.23,3,1.23,87,5850.75
2019,Montfort,13,Full+,318,12,3,15,200,AR1R3,2.82,2.6,2.45,91.04,6122.44
2019,Montfort,13,Full+,319,4,3,15,140,NT,4.03,2,2.68,91.5,6153.375
2019,Montfort,13,Full+,320,6,3,15,140,AR1R3,0.74,3,0.74,90.05,6055.8625
2019,Montfort,13,Full+,321,5,3,15,140,Amodel,4.14,3,4.14,88.81,5972.4725
2019,Montfort,13,Full+,322,1,3,15,110,NT,0.93,3,0.93,75.43,5072.6675
2019,Montfort,13,Full+,323,3,3,15,110,AR1R3,0.88,3,0.88,84.85,5706.1625
2019,Montfort,13,Full+,324,2,3,15,110,Amodel,0.91,3,0.91,78.14,5254.915
2019,Montfort,13,Full+,401,15,4,30,110,AR1R3,0.5,3,0.5,69.87,4698.7575
2019,Montfort,13,Full+,402,13,4,30,110,NT,0.93,3,0.93,70.58,4746.505
2019,Montfort,13,Full+,403,14,4,30,110,Amodel,2.03,3,2.03,76.18,5123.105
2019,Montfort,13,Full+,404,16,4,30,140,NT,0.49,1,0.16,63.27,4254.9075
2019,Montfort,13,Full+,405,18,4,30,140,AR1R3,1.25,3,1.25,70.14,4716.915
2019,Montfort,13,Full+,406,17,4,30,140,Amodel,3.52,3,3.52,75.13,5052.4925
2019,Montfort,13,Full+,407,19,4,30,170,NT,0.7,3,0.7,79.72,5361.17
2019,Montfort,13,Full+,408,21,4,30,170,AR1R3,0.35,3,0.35,73.02,4910.595
2019,Montfort,13,Full+,409,20,4,30,170,Amodel,1.68,3,1.68,74.3,4996.675
2019,Montfort,13,Full+,410,24,4,30,200,AR1R3,1.17,3,1.17,75.79,5096.8775
2019,Montfort,13,Full+,411,23,4,30,200,Amodel,0.3,3,0.3,82.09,5520.5525
2019,Montfort,13,Full+,412,22,4,30,200,NT,0,0,0,75.2,5057.2
2019,Montfort,13,Full+,413,12,4,15,200,AR1R3,0,0,0,96.62,6497.695
2019,Montfort,13,Full+,414,11,4,15,200,Amodel,2.37,2.33,1.84,95.66,6433.135
2019,Montfort,13,Full+,415,10,4,15,200,NT,3.75,2.5,3.13,90.54,6088.815
2019,Montfort,13,Full+,416,6,4,15,140,AR1R3,0.77,3,0.77,79.89,5372.6025
2019,Montfort,13,Full+,417,5,4,15,140,Amodel,0,0,0,79.09,5318.8025
2019,Montfort,13,Full+,418,4,4,15,140,NT,0,0,0,79.25,5329.5625
2019,Montfort,13,Full+,419,3,4,15,110,AR1R3,5.94,2.67,5.28,85.16,5727.01
2019,Montfort,13,Full+,420,2,4,15,110,Amodel,1.57,3,1.57,88.7,5965.075
2019,Montfort,13,Full+,421,1,4,15,110,NT,3.57,3,3.57,79.42,5340.995
