Yr,Loc,Env,Ana,Plot,Trt,Rep,Row,Pop,Fung,DI%,DS,DIX,Ybu,Ykg
2018,Owatonna,10,Part+,402,18,4,30,140,AR1R3,0,0,0,68.38,4598.555
2018,Owatonna,10,Part+,403,15,4,30,110,AR1R3,0,0,0,51.17,3441.1825
2018,Owatonna,10,Part+,404,13,4,30,110,NT,0,0,0,65.92,4433.12
2018,Owatonna,10,Part+,405,19,4,30,170,NT,6.67,2.5,5.56,64.7,4351.075
2018,Owatonna,10,Part+,406,14,4,30,110,Amodel,0,0,0,67.59,4545.4275
2018,Owatonna,10,Part+,407,20,4,30,170,Amodel,0,0,0,70.29,4727.0025
2018,Owatonna,10,Part+,408,17,4,30,140,Amodel,0,0,0,60.85,4092.1625
2018,Owatonna,10,Part+,409,21,4,30,170,AR1R3,10,1.33,4.44,64.18,4316.105
2018,Owatonna,10,Part+,410,23,4,30,200,Amodel,0,0,0,66.53,4474.1425
2018,Owatonna,10,Part+,411,24,4,30,200,AR1R3,0,0,0,66.09,4444.5525
2018,Owatonna,10,Part+,412,16,4,30,140,NT,0,0,0,66.2,4451.95
2018,Stewertville,11,Part+,101,13,1,30,110,NT,0,0,0,34.51,2320.7975
2018,Stewertville,11,Part+,102,14,1,30,110,Amodel,0,0,0,29.11,1957.6475
2018,Stewertville,11,Part+,103,15,1,30,110,AR1R3,0,0,0,32.87,2210.5075
2018,Stewertville,11,Part+,104,16,1,30,140,NT,0,0,0,35.12,2361.82
2018,Stewertville,11,Part+,105,17,1,30,140,Amodel,0,0,0,36.79,2474.1275
2018,Stewertville,11,Part+,106,18,1,30,140,AR1R3,0,0,0,35.78,2406.205
2018,Stewertville,11,Part+,107,19,1,30,170,NT,0,0,0,39.17,2634.1825
2018,Stewertville,11,Part+,108,20,1,30,170,Amodel,0,0,0,37.03,2490.2675
2018,Stewertville,11,Part+,109,21,1,30,170,AR1R3,0,0,0,38.99,2622.0775
2018,Stewertville,11,Part+,110,22,1,30,200,NT,3.33,2,2.22,41.79,2810.3775
2018,Stewertville,11,Part+,111,23,1,30,200,Amodel,0,0,0,36.53,2456.6425
2018,Stewertville,11,Part+,112,24,1,30,200,AR1R3,0,0,0,39.24,2638.89
2018,Stewertville,11,Part+,201,24,2,30,200,AR1R3,0,0,0,43.4,2918.65
2018,Stewertville,11,Part+,202,19,2,30,170,NT,0,0,0,36.31,2441.8475
2018,Stewertville,11,Part+,203,14,2,30,110,Amodel,0,0,0,33.21,2233.3725
2018,Stewertville,11,Part+,204,20,2,30,170,Amodel,0,0,0,41.84,2813.74
2018,Stewertville,11,Part+,205,21,2,30,170,AR1R3,0,0,0,38.65,2599.2125
2018,Stewertville,11,Part+,206,16,2,30,140,NT,0,0,0,41.44,2786.84
2018,Stewertville,11,Part+,207,13,2,30,110,NT,0,0,0,37.86,2546.085
2018,Stewertville,11,Part+,208,15,2,30,110,AR1R3,0,0,0,25.17,1692.6825
2018,Stewertville,11,Part+,209,22,2,30,200,NT,0,0,0,40.64,2733.04
2018,Stewertville,11,Part+,210,18,2,30,140,AR1R3,0,0,0,38.29,2575.0025
2018,Stewertville,11,Part+,211,23,2,30,200,Amodel,0,0,0,47.33,3182.9425
2018,Stewertville,11,Part+,212,17,2,30,140,Amodel,0,0,0,38.76,2606.61
2018,Stewertville,11,Part+,301,17,3,30,140,Amodel,0,0,0,40.59,2729.6775
2018,Stewertville,11,Part+,302,23,3,30,200,Amodel,0,0,0,45.48,3058.53
2018,Stewertville,11,Part+,303,19,3,30,170,NT,0,0,0,44.68,3004.73
2018,Stewertville,11,Part+,304,24,3,30,200,AR1R3,0,0,0,42.74,2874.265
2018,Stewertville,11,Part+,305,13,3,30,110,NT,0,0,0,38.19,2568.2775
2018,Stewertville,11,Part+,306,15,3,30,110,AR1R3,0,0,0,40.63,2732.3675
2018,Stewertville,11,Part+,307,16,3,30,140,NT,0,0,0,46.07,3098.2075
2018,Stewertville,11,Part+,308,14,3,30,110,Amodel,0,0,0,42.78,2876.955
2018,Stewertville,11,Part+,309,20,3,30,170,Amodel,0,0,0,47.36,3184.96
2018,Stewertville,11,Part+,310,21,3,30,170,AR1R3,0,0,0,42.89,2884.3525
2018,Stewertville,11,Part+,311,18,3,30,140,AR1R3,0,0,0,36.85,2478.1625
2018,Stewertville,11,Part+,312,22,3,30,200,NT,3.33,1,1.11,45.16,3037.01
2018,Stewertville,11,Part+,401,22,4,30,200,NT,0,0,0,43.72,2940.17
2018,Stewertville,11,Part+,402,18,4,30,140,AR1R3,0,0,0,37.24,2504.39
2018,Stewertville,11,Part+,403,15,4,30,110,AR1R3,0,0,0,30.83,2073.3175
2018,Stewertville,11,Part+,404,13,4,30,110,NT,0,0,0,31.79,2137.8775
2018,Stewertville,11,Part+,405,19,4,30,170,NT,0,0,0,39.98,2688.655
2018,Stewertville,11,Part+,406,14,4,30,110,Amodel,0,0,0,34.06,2290.535
2018,Stewertville,11,Part+,407,20,4,30,170,Amodel,0,0,0,36.94,2484.215
2018,Stewertville,11,Part+,408,17,4,30,140,Amodel,0,0,0,38.59,2595.1775
2018,Stewertville,11,Part+,409,21,4,30,170,AR1R3,0,0,0,40.22,2704.795
2018,Stewertville,11,Part+,410,23,4,30,200,Amodel,3.33,2,2.22,43.07,2896.4575
2018,Stewertville,11,Part+,411,24,4,30,200,AR1R3,3.33,2,2.22,43.7,2938.825
2018,Stewertville,11,Part+,412,16,4,30,140,NT,0,0,0,43.13,2900.4925
2019,Kanawha,16,Part+,101,13,1,30,110,NT,3.33,2,2.22,67.27,4523.9075
2019,Kanawha,16,Part+,102,14,1,30,110,Amodel,3.33,3,3.33,67.42,4533.995
2019,Kanawha,16,Part+,103,15,1,30,110,AR1R3,0,0,0,71.03,4776.7675
2019,Kanawha,16,Part+,104,16,1,30,140,NT,13.33,3,13.33,67.58,4544.755
2019,Kanawha,16,Part+,105,17,1,30,140,Amodel,26.67,2.75,24.44,71.04,4777.44
2019,Kanawha,16,Part+,106,18,1,30,140,AR1R3,3.33,2,2.22,59.77,4019.5325
2019,Kanawha,16,Part+,107,19,1,30,170,NT,13.33,3,13.33,72.8,4895.8
2019,Kanawha,16,Part+,108,20,1,30,170,Amodel,16.67,2.8,15.56,67.14,4515.165
2019,Kanawha,16,Part+,109,21,1,30,170,AR1R3,16.67,2.8,15.56,63.2,4250.2
2019,Kanawha,16,Part+,110,22,1,30,200,NT,50,3,50,57.64,3876.29
2019,Kanawha,16,Part+,111,23,1,30,200,Amodel,3.33,2,2.22,66.81,4492.9725
2019,Kanawha,16,Part+,112,24,1,30,200,AR1R3,0,0,0,69.48,4672.53
2019,Kanawha,16,Part+,201,18,2,30,140,AR1R3,0,0,0,76.03,5113.0175
2019,Kanawha,16,Part+,202,19,2,30,170,NT,20,2.83,18.89,69.45,4670.5125
2019,Kanawha,16,Part+,203,22,2,30,200,NT,13.33,3,13.33,63.79,4289.8775
2019,Kanawha,16,Part+,204,21,2,30,170,AR1R3,3.33,3,3.33,69.39,4666.4775
2019,Kanawha,16,Part+,205,14,2,30,110,Amodel,6.67,3,6.67,69.45,4670.5125
2019,Kanawha,16,Part+,206,16,2,30,140,NT,16.67,3,16.67,58.25,3917.3125
2019,Kanawha,16,Part+,207,15,2,30,110,AR1R3,3.33,3,3.33,47.91,3221.9475
2019,Kanawha,16,Part+,208,20,2,30,170,Amodel,0,0,0,62.2,4182.95
2019,Kanawha,16,Part+,209,24,2,30,200,AR1R3,6.67,3,6.67,67.53,4541.3925
2019,Kanawha,16,Part+,210,17,2,30,140,Amodel,0,0,0,64.6,4344.35
2019,Kanawha,16,Part+,211,23,2,30,200,Amodel,3.33,3,3.33,70.21,4721.6225
2019,Kanawha,16,Part+,212,13,2,30,110,NT,10,3,10,52.07,3501.7075
2019,Kanawha,16,Part+,301,22,3,30,200,NT,0,0,0,71.05,4778.1125
2019,Kanawha,16,Part+,301,14,3,30,110,Amodel,0,0,0,61.11,4109.6475
2019,Kanawha,16,Part+,303,17,3,30,140,Amodel,0,0,0,68.81,4627.4725
2019,Kanawha,16,Part+,304,18,3,30,140,AR1R3,13.33,2.75,12.22,69.54,4676.565
2019,Kanawha,16,Part+,305,15,3,30,110,AR1R3,6.67,3,6.67,71.11,4782.1475
2019,Kanawha,16,Part+,306,13,3,30,110,NT,26.67,3,26.67,60.7,4082.075
2019,Kanawha,16,Part+,307,23,3,30,200,Amodel,66.67,3,66.67,46.39,3119.7275
2019,Kanawha,16,Part+,308,24,3,30,200,AR1R3,13.33,2.5,11.11,71.36,4798.96
2019,Kanawha,16,Part+,309,16,3,30,140,NT,16.67,3,16.67,61.99,4168.8275
2019,Kanawha,16,Part+,310,21,3,30,170,AR1R3,6.67,2,4.44,71.63,4817.1175
2019,Kanawha,16,Part+,311,20,3,30,170,Amodel,0,0,0,72.94,4905.215
2019,Kanawha,16,Part+,312,19,3,30,170,NT,23.33,3,23.33,61.68,4147.98
2019,Kanawha,16,Part+,401,21,4,30,170,AR1R3,16.67,3,16.67,70.12,4715.57
2019,Kanawha,16,Part+,402,18,4,30,140,AR1R3,26.67,2.75,24.44,61.88,4161.43
2019,Kanawha,16,Part+,403,13,4,30,110,NT,0,0,0,57.87,3891.7575
2019,Kanawha,16,Part+,404,23,4,30,200,Amodel,0,0,0,61.53,4137.8925
2019,Kanawha,16,Part+,405,22,4,30,200,NT,13.33,2.75,12.22,55.84,3755.24
2019,Kanawha,16,Part+,406,17,4,30,140,Amodel,0,0,0,59.76,4018.86
2019,Kanawha,16,Part+,407,14,4,30,110,Amodel,0,0,0,47.32,3182.27
2019,Kanawha,16,Part+,408,15,4,30,110,AR1R3,13.33,3,13.33,57.13,3841.9925
2019,Kanawha,16,Part+,409,19,4,30,170,NT,10,3,10,54.77,3683.2825
2019,Kanawha,16,Part+,410,16,4,30,140,NT,10,3,10,57.79,3886.3775
2019,Kanawha,16,Part+,411,24,4,30,200,AR1R3,0,0,0,56.33,3788.1925
2019,Kanawha,16,Part+,412,20,4,30,170,Amodel,20,3,20,53.84,3620.74
